Name,Tags,Power,Bulk,Color1,Color2,Color3,Color4,Trait,Effect1,Effect2,Flavor,Image,Collection Group,Inspirations?
Casting Sky,Cloud,1,2,Cyan,Blue,Red,Pink,,Comboing: 1 DMG per POW 1- Comboing,Set 1,"Leader of the Castings. When the tide is high, waves will crash down on her adversaries.",,1,
Casting Cirrus,Cloud,2,4,Cyan,Blue,,,,"Stack 3: Look at the top 4 cards of the Public Pile and you may 
rearrange them.","If the card beneath this is a Casting, deal 1 dmg.",A ribbon dancer who helps coordinate the plans of the Castings.,,1,Ribbon Dancer
Casting Stratus,Cloud,1,5,Cyan,Blue,,,,"Shove 2 Borders 1: From the Public Pile, send 1 card to the top of each bordering Gate Zone","Sequence Casting: 2 DMG; If the card played on this is a Casting, deal 2 dmg",A trained assassin who lies in wait launch his ambushes.,,1,Samurai Mafia
Casting Cumulus,Cloud,1,3,Cyan,Blue,,,,Ultimate; The next card played on this deals DMG equal to their POW stat,Sequence Casting: Recall 1,"If you're looking for someone, Cumulus knows a guy. He's well connected with every exchange on the Coast.",,1,Pirate
Casting Nimbus,Cloud,2,1,Cyan,Blue,,,,Gap 1 Faceup,Detonate Castings In-Previous 2;  Casting cards that are within the 2 cards below this one have their effects triggered,"A world class agent in infiltration, she's almosts never seen, but always brings company.",,1,City Girl
Carapace Coconut,Shelled,4,1,Orange,Blue,Red,Yellow,,Counterless,Scrounge 1 & Set Self,"Some call him a kleptomaniac, he thinks it's just economical",,1,Coconut Crab
Carapace Horseshoe,Shelled,3,5,Orange,Yellow,Blue,,,Rend 3,Block POW 5,"For being so short, he really knows how to punch up.",,1,Horseshoe Crab
Carapace Arrow,Shelled,4,2,Orange,Red,,,,Rend 4,2+ Rends: Shove 1 Empty Gate Zone 1 Rend,She's always talking about piercing through the heavens.,,1,Arrow Crab
Carapace Hermit,Shelled,2,3,Orange,Yellow,Fuchsia,,,Over-Rend 2: Send the top card of a draw pile to a different draw pile.,Seal Non-OYF,Hermit is not very fond of xenos.,,1,Hermit Crab
Carapace Spider,Shelled,5,4,Orange,Red,,,,Rend 5:  Send the top 3 cards of a draw pile to a different draw pile.,Shove 4,"Like a marionette, you'll always find Spider pulling the strings.",,2,Japanese Spider Crab
Floral Torch Ginger,Flower,1,5,Pink,Yellow,Green,Fuchsia,,Held: Plays Responsive,,"Under her guidance, her followers can reach their fullest potential.",,2,
Floral Plum Blossom,Flower,2,3,Pink,Blue,Red,,,Two-Step,Opponent Non-Fill Draw< Gap Opponent 2,She can get just a bit jealous sometimes.,,2,
Floral Sundew,Flower,1,3,Pink,Yellow,Red,,,Shove 2 Adjacents 1,Any Set Activation< Set Activated,"She might not look it, but she's the most welcoming of the Florals.",,2,
Floral White Lotus,Flower,1,3,Pink,,,,Quick-Set,Armor 3,Faceup: Instant Phase: Draw 1,In her introspection she knows that it is our union that makes us stronger.,,2,
Floral Rangoon Creeper,Flower,2,2,Pink,Green,,,,Heal 3,Any Single < Gap DP 2,"If you're down in your luck, Rangoon is always there to lend a hand.",,2,
Floral Hibiscus,Flower,3,2,Pink,Orange,,,,Gift 1,Block 2,"She may not be easily approachable, but she's definitely not selfish.",,2,
Tianshi Imperial Throne,Constellation,2,4,Yellow,Fuchsia,Blue,Violet,,Scan All Hands,"Reflect Half; When taking DMG you may burn this to block half the incoming DMG and deal half of it to the Opponent instead.
","From that Throne, what else could you do, but enjoy the scenery.",,2,
